address,country_code,house_number,street,town,state,postal_code,country
"43 WICKLOW STREET, CROMWELL",NZ,43,WICKLOW STREET,CROMWELL,,,
"185 MULFORD STREET, CONCORD, DUNEDIN",NZ,185,MULFORD STREET,DUNEDIN,,,
"37 AYR STREET, MOSGIEL",NZ,37,AYR STREET,MOSGIEL,,,
"15 BRADFORD STREET, BRADFORD, DUNEDIN",NZ,15,BRADFORD STREET,DUNEDIN,,,
"67 WEST ROAD, MILTON",NZ,67,WEST ROAD,MILTON,,,
"8 HELLYER STREET, MACANDREW BAY, DUNEDIN",NZ,8,HELLYER STREET,DUNEDIN,,,
"18 MOLD STREET, MIDDLEMARCH",NZ,18,MOLD STREET,MIDDLEMARCH,,,
"321 TAIERI ROAD, HALFWAY BUSH, DUNEDIN",NZ,321,TAIERI ROAD,DUNEDIN,,,
"191 BURT STREET, WAKARI, DUNEDIN",NZ,191,BURT STREET,DUNEDIN,,,
"25 UPLAND STREET, HELENSBURGH, DUNEDIN",NZ,25,UPLAND STREET,DUNEDIN,,,
"1084 TAHAKOPA VALLEY ROAD, TAHAKOPA, OWAKA",NZ,1084,TAHAKOPA VALLEY ROAD,OWAKA,,,
"8 RITCHIE STREET, ARROWTOWN",NZ,8,RITCHIE STREET,ARROWTOWN,,,
"69 MATAI ROAD, WANAKA",NZ,69,MATAI ROAD,WANAKA,,,
"51 SOMME STREET, ST ALBANS, CHRISTCHURCH",NZ,51,SOMME STREET,CHRISTCHURCH,,,
"18 HIGH STREET, MOSGIEL",NZ,18,HIGH STREET,MOSGIEL,,,
"10 BARR STREET, BALCLUTHA",NZ,10,BARR STREET,BALCLUTHA,,,
"124 NORTH TAIERI ROAD, ABBOTSFORD, DUNEDIN",NZ,124,NORTH TAIERI ROAD,DUNEDIN,,,
"8 GLENLEIGH PLACE, MOSGIEL",NZ,8,GLENLEIGH PLACE,MOSGIEL,,,
"50 HOOD STREET, WAKARI, DUNEDIN",NZ,50,HOOD STREET,DUNEDIN,,,
"4 OMARAMA AVENUE, OMARAMA, OMARAMA",NZ,4,OMARAMA AVENUE,OMARAMA,,,
"10 MEMORIAL STREET, QUEENSTOWN",NZ,10,MEMORIAL STREET,QUEENSTOWN,,,
"15 MILL END, WANAKA",NZ,15,MILL END,WANAKA,,,
"7 GRAHAM STREET, MOSGIEL",NZ,7,GRAHAM STREET,MOSGIEL,,,
"10 CAIRNHILL STREET, MAORI HILL, DUNEDIN",NZ,10,CAIRNHILL STREET,DUNEDIN,,,
"52 RATA STREET, WANAKA",NZ,52,RATA STREET,WANAKA,,,
"73 SALCOMBE STREET, KAITANGATA",NZ,73,SALCOMBE STREET,KAITANGATA,,,
"86 HEDDITCH STREET, WANAKA",NZ,86,HEDDITCH STREET,WANAKA,,,
"13 JOSEPH STREET, TAIERI BEACH, TAIERI MOUTH",NZ,13,JOSEPH STREET,TAIERI MOUTH,,,
"22 CHRISTCHURCH STREET, KAITANGATA",NZ,22,CHRISTCHURCH STREET,KAITANGATA,,,
"69 TAMATEA ROAD, OTAKOU, DUNEDIN",NZ,69,TAMATEA ROAD,DUNEDIN,,,
"15 WILLIAMS STREET, SUNSHINE BAY, QUEENSTOWN",NZ,15,WILLIAMS STREET,QUEENSTOWN,,,
"78 CHERRY DRIVE, MOSGIEL",NZ,78,CHERRY DRIVE,MOSGIEL,,,
"49 FORSYTH ROAD, MILTON",NZ,49,FORSYTH ROAD,MILTON,,,
"68 WARREN STREET, WANAKA",NZ,68,WARREN STREET,WANAKA,,,
"26 WAITAKI DRIVE EAST, OTEMATATA",NZ,26,WAITAKI DRIVE EAST,OTEMATATA,,,
"17 VALPY STREET, SAINT CLAIR, DUNEDIN",NZ,17,VALPY STREET,DUNEDIN,,,
"7 CHURCH STREET, MOSGIEL",NZ,7,CHURCH STREET,MOSGIEL,,,
"25 GARFIELD AVENUE, ROSLYN, DUNEDIN",NZ,25,GARFIELD AVENUE,DUNEDIN,,,
"11 ENTERPRISE STREET, ALEXANDRA",NZ,11,ENTERPRISE STREET,ALEXANDRA,,,
"46 CARDIGAN STREET EAST, MIDDLEMARCH",NZ,46,CARDIGAN STREET EAST,MIDDLEMARCH,,,
"1 BENFELL STREET, GREEN ISLAND, DUNEDIN",NZ,1,BENFELL STREET,DUNEDIN,,,
"34 ALLISON CRESCENT, KAIAPOI",NZ,34,ALLISON CRESCENT,KAIAPOI,,,
"151 LAKESIDE ROAD, WANAKA",NZ,151,LAKESIDE ROAD,WANAKA,,,
"18 LARKINS STREET, HELENSBURGH, DUNEDIN",NZ,18,LARKINS STREET,DUNEDIN,,,
"14 CHAPPLE STREET, ALEXANDRA",NZ,14,CHAPPLE STREET,ALEXANDRA,,,
"38 COTTER AVENUE, ARROWTOWN",NZ,38,COTTER AVENUE,ARROWTOWN,,,
"322 KAIKORAI VALLEY ROAD, BRADFORD, DUNEDIN",NZ,322,KAIKORAI VALLEY ROAD,DUNEDIN,,,
"371 PUAHO ROAD, MACLENNAN, OWAKA",NZ,371,PUAHO ROAD,OWAKA,,,
"5 RANFURLY STREET, KUROW",NZ,5,RANFURLY STREET,KUROW,,,
"890 MOUNT STUART ROAD, AWAMANGU, BALCLUTHA",NZ,890,MOUNT STUART ROAD,BALCLUTHA,,,
"38 NAPIER STREET, BELLEKNOWES, DUNEDIN",NZ,38,NAPIER STREET,DUNEDIN,,,
"69 WILLIAM STREET, PETONE, LOWER HUTT",NZ,69,WILLIAM STREET,LOWER HUTT,,,
"105 CLYDE STREET, BALCLUTHA",NZ,105,CLYDE STREET,BALCLUTHA,,,
"28 NOTTINGHAM CRESCENT, CALTON HILL, DUNEDIN",NZ,28,NOTTINGHAM CRESCENT,DUNEDIN,,,
"59 NELSON STREET, FORBURY, DUNEDIN",NZ,59,NELSON STREET,DUNEDIN,,,
"18 ROWAN PLACE, MOSGIEL",NZ,18,ROWAN PLACE,MOSGIEL,,,
"4 WANGALOA ROAD, KAITANGATA",NZ,4,WANGALOA ROAD,KAITANGATA,,,
"3 WICKLOW TERRACE, ALBERT TOWN, WANAKA",NZ,3,WICKLOW TERRACE,WANAKA,,,
"88 BAKER STREET, STIRLING",NZ,88,BAKER STREET,STIRLING,,,
"199 BROOKSDALE ROAD, TAPANUI",NZ,199,BROOKSDALE ROAD,TAPANUI,,,
"102 MCCARTHY ROAD, HAWEA FLAT, LAKE HAWEA",NZ,102,MCCARTHY ROAD,LAKE HAWEA,,,
"156 MAIN SOUTH ROAD, GREEN ISLAND, DUNEDIN",NZ,156,MAIN SOUTH ROAD,DUNEDIN,,,
"18 PRESTON CRESCENT, BELLEKNOWES, DUNEDIN",NZ,18,PRESTON CRESCENT,DUNEDIN,,,
"30 MCGEORGE AVENUE, MORNINGTON, DUNEDIN",NZ,30,MCGEORGE AVENUE,DUNEDIN,,,
"16 DOON STREET, MOSGIEL",NZ,16,DOON STREET,MOSGIEL,,,
"50 GREEN STREET, MOSGIEL",NZ,50,GREEN STREET,MOSGIEL,,,
"8 COSSENS STREET, BALCLUTHA",NZ,8,COSSENS STREET,BALCLUTHA,,,
"76 WAENGA DRIVE, CROMWELL",NZ,76,WAENGA DRIVE,CROMWELL,,,
"10 PICARDY STREET, MARYHILL, DUNEDIN",NZ,10,PICARDY STREET,DUNEDIN,,,
"14 BEACH STREET, SAINT CLAIR, DUNEDIN",NZ,14,BEACH STREET,DUNEDIN,,,
"21 EWING PLACE, ALBERT TOWN, WANAKA",NZ,21,EWING PLACE,WANAKA,,,
"41 VENTRY STREET, ALEXANDRA",NZ,41,VENTRY STREET,ALEXANDRA,,,
"9 QUARRY HILL TERRACE, KENNEDYS BUSH, CHRISTCHURCH",NZ,9,QUARRY HILL TERRACE,CHRISTCHURCH,,,
"4 VAMPIRE ROAD, WALDRONVILLE, DUNEDIN",NZ,4,VAMPIRE ROAD,DUNEDIN,,,
"4 TRECASTELL STREET, BRIGHTON, DUNEDIN",NZ,4,TRECASTELL STREET,DUNEDIN,,,
"27 FORTH STREET, MOSGIEL",NZ,27,FORTH STREET,MOSGIEL,,,
"26 SPENSER STREET, MILTON",NZ,26,SPENSER STREET,MILTON,,,
"169 MACANDREW ROAD, SOUTH DUNEDIN, DUNEDIN",NZ,169,MACANDREW ROAD,DUNEDIN,,,
